altitude_m,distancia_proximo_m,id,id_original,inclinacao_percentual,lat,latitude,lon,longitude,origem,tipo
859.0,62.837,128,,-1.591,-22.5201586753124,-22.5201586753124,-43.1904852370114,-43.1904852370114,7-31,geometria
858.0,90.488,129,,-11.051,-22.52072358445,-22.52072358445,-43.1904691437573,-43.1904691437573,7-31,geometria
848.0,83.014,130,,-8.432,-22.5208226910781,-22.5208226910781,-43.1895947436184,-43.1895947436184,7-31,geometria
841.0,2875.517,131,,0.313,-22.5206591651036,-22.5206591651036,-43.1888061741681,-43.1888061741681,7-31,geometria
850.0,78.178,132,,-2.558,-22.5126362440446,-22.5126362440446,-43.2154190540314,-43.2154190540314,9-10,geometria
848.0,166.067,133,,-0.602,-22.5128939362083,-22.5128939362083,-43.2161271572113,-43.2161271572113,9-10,geometria
847.0,358.724,134,,-0.558,-22.5124875752701,-22.5124875752701,-43.2176828384399,-43.2176828384399,9-10,geometria
845.0,340.241,135,,2.939,-22.513300295952,-22.513300295952,-43.2210624217987,-43.2210624217987,9-10,geometria
855.0,207.494,136,,7.711,-22.5148365232128,-22.5148365232128,-43.2239270210266,-43.2239270210266,9-10,geometria
871.0,1248.905,137,,-2.082,-22.516501576059,-22.516501576059,-43.2248389720917,-43.2248389720917,9-10,geometria
845.0,76.499,138,,1.307,-22.5113403425164,-22.5113403425164,-43.2140403985977,-43.2140403985977,9-57,geometria
846.0,140.054,139,,-7.854,-22.511119815043,-22.511119815043,-43.2133349776268,-43.2133349776268,9-57,geometria
835.0,196.689,140,,2.034,-22.5109761003204,-22.5109761003204,-43.2119804620743,-43.2119804620743,9-57,geometria
839.0,88.674,141,,2.255,-22.5111346820747,-22.5111346820747,-43.2100734114647,-43.2100734114647,9-57,geometria
841.0,63.412,142,,-7.885,-22.5112982193183,-22.5112982193183,-43.209228515625,-43.209228515625,9-57,geometria
836.0,87.706,143,,-5.701,-22.5110033565724,-22.5110033565724,-43.2087001204491,-43.2087001204491,9-57,geometria
831.0,55.16,144,,0.0,-22.5109314991693,-22.5109314991693,-43.2078498601913,-43.2078498601913,9-57,geometria
831.0,87.654,145,,4.563,-22.5109091985883,-22.5109091985883,-43.2073134183884,-43.2073134183884,9-57,geometria
835.0,74.993,146,,8.001,-22.5104656640638,-22.5104656640638,-43.2066079974175,-43.2066079974175,9-57,geometria
841.0,138.545,147,,-7.94,-22.5104408855568,-22.5104408855568,-43.2058784365654,-43.2058784365654,9-57,geometria
830.0,60.026,148,,8.33,-22.5108497303548,-22.5108497303548,-43.2046043872833,-43.2046043872833,9-57,geometria
835.0,72.338,149,,-5.53,-22.5104780533157,-22.5104780533157,-43.204180598259,-43.204180598259,9-57,geometria
831.0,64.947,150,,0.0,-22.5107778728718,-22.5107778728718,-43.2035556435585,-43.2035556435585,9-57,geometria
831.0,177.158,151,,1.129,-22.5113254755068,-22.5113254755068,-43.2033357024193,-43.2033357024193,9-57,geometria
833.0,69.964,152,,-2.859,-22.5117566181366,-22.5117566181366,-43.2016754150391,-43.2016754150391,9-57,geometria
831.0,57.172,153,,-3.498,-22.5113229976717,-22.5113229976717,-43.2011818885803,-43.2011818885803,9-57,geometria
829.0,93.215,154,,0.0,-22.5112164507207,-22.5112164507207,-43.2006374001503,-43.2006374001503,9-57,geometria
829.0,69.327,155,,-5.77,-22.5114493672047,-22.5114493672047,-43.1997656822205,-43.1997656822205,9-57,geometria
825.0,2439.395,156,,0.984,-22.5113304311768,-22.5113304311768,-43.1991031765938,-43.1991031765938,9-57,geometria
849.0,129.905,163,,3.079,-22.5328660947718,-22.5328660947718,-43.1945756077766,-43.1945756077766,11-59,geometria
853.0,100.944,164,,-5.944,-22.533765405764,-22.533765405764,-43.1953829526901,-43.1953829526901,11-59,geometria
847.0,85.528,165,,-2.338,-22.5343005301868,-22.5343005301868,-43.1961768865585,-43.1961768865585,11-59,geometria
845.0,93.526,166,,2.138,-22.5347093043904,-22.5347093043904,-43.1968823075295,-43.1968823075295,11-59,geometria
847.0,47.734,167,,-2.095,-22.5345334077602,-22.5345334077602,-43.1977728009224,-43.1977728009224,11-59,geometria
846.0,60.397,168,,1.656,-22.5342361171716,-22.5342361171716,-43.1981080770493,-43.1981080770493,11-59,geometria
847.0,504.482,169,,1.189,-22.5340800393564,-22.5340800393564,-43.1986713409424,-43.1986713409424,11-59,geometria
853.0,81.638,170,,12.249,-22.5316521395161,-22.5316521395161,-43.1945219635963,-43.1945219635963,11-47,geometria
863.0,128.975,171,,-6.203,-22.5311442571105,-22.5311442571105,-43.1950959563255,-43.1950959563255,11-47,geometria
855.0,388.272,172,,7.469,-22.53018299164,-22.53018299164,-43.1957986950874,-43.1957986950874,11-47,geometria
884.0,181.272,173,,-13.791,-22.5300987567181,-22.5300987567181,-43.1920194625855,-43.1920194625855,11-68,geometria
859.0,164.132,174,,-1.828,-22.5291672141563,-22.5291672141563,-43.1905710697174,-43.1905710697174,11-68,geometria
856.0,116.427,175,,-0.859,-22.5279482713154,-22.5279482713154,-43.1896698474884,-43.1896698474884,11-68,geometria
855.0,241.046,176,,0.83,-22.5274800160229,-22.5274800160229,-43.1886559724808,-43.1886559724808,11-68,geometria
857.0,134.17,177,,-4.472,-22.5259092432902,-22.5259092432902,-43.1870386004448,-43.1870386004448,11-68,geometria
851.0,97.479,178,,-1.026,-22.5250173139146,-22.5250173139146,-43.1861588358879,-43.1861588358879,11-68,geometria
850.0,117.722,179,,-2.548,-22.5242715574332,-22.5242715574332,-43.1856599450111,-43.1856599450111,11-68,geometria
847.0,127.699,180,,-3.132,-22.5236174687006,-22.5236174687006,-43.1847587227821,-43.1847587227821,11-68,geometria
843.0,5234.208,181,,2.312,-22.5230500937692,-22.5230500937692,-43.1836777925491,-43.1836777925491,11-68,geometria
964.0,73.986,182,,12.165,-22.4854073701762,-22.4854073701762,-43.214271068573,-43.214271068573,12-13,geometria
973.0,136.125,183,,4.408,-22.4847431843561,-22.4847431843561,-43.2142281532288,-43.2142281532288,12-13,geometria
